store_id,product_id,quantity
S001,P001,8
S001,P002,32
S001,P003,18
S001,P004,45
S001,P005,28
S001,P006,6
S001,P007,24
S001,P008,120
S001,P009,35
S001,P010,52
S001,P011,27
S001,P012,31
S001,P013,42
S001,P014,38
S001,P015,22
S001,P016,26
S001,P017,30
S001,P018,60
S001,P019,25
S001,P020,14
S002,P001,5
S002,P002,25
S002,P003,14
S002,P004,38
S002,P005,22
S002,P006,4
S002,P007,20
S002,P008,95
S002,P009,29
S002,P010,44
S002,P011,20
S002,P012,24
S002,P013,35
S002,P014,31
S002,P015,19
S002,P016,22
S002,P017,26
S002,P018,48
S002,P019,19
S002,P020,11
S003,P001,3
S003,P002,18
S003,P003,9
S003,P004,30
S003,P005,16
S003,P006,3
S003,P007,15
S003,P008,80
S003,P009,21
S003,P010,35
S003,P011,16
S003,P012,19
S003,P013,28
S003,P014,24
S003,P015,15
S003,P016,18
S003,P017,20
S003,P018,35
S003,P019,15
S003,P020,8
