sale_id,store_id,product_id,sale_date,quantity,revenue
1,S001,P001,2026-06-08,7,419.93
2,S001,P002,2026-06-08,2,79.98
3,S001,P003,2026-06-08,2,179.98
4,S001,P004,2026-06-08,7,139.93
5,S001,P005,2026-06-08,4,119.96
6,S001,P006,2026-06-08,6,719.94
7,S001,P007,2026-06-08,3,299.97
8,S001,P009,2026-06-08,7,349.93
9,S001,P010,2026-06-08,7,174.93
10,S001,P011,2026-06-08,6,269.94
11,S001,P012,2026-06-08,2,69.98
12,S001,P013,2026-06-08,6,179.94
13,S001,P014,2026-06-08,5,99.95
14,S001,P015,2026-06-08,2,109.98
15,S001,P016,2026-06-08,2,139.98
16,S001,P017,2026-06-08,2,69.98
17,S001,P018,2026-06-08,3,44.97
18,S001,P019,2026-06-08,3,83.97
19,S001,P020,2026-06-08,6,449.94
20,S002,P001,2026-06-08,6,359.94
21,S002,P002,2026-06-08,2,79.98
22,S002,P003,2026-06-08,6,539.94
23,S002,P004,2026-06-08,3,59.97
24,S002,P005,2026-06-08,7,209.93
25,S002,P006,2026-06-08,10,1199.9
26,S002,P007,2026-06-08,6,599.94
27,S002,P009,2026-06-08,5,249.95
28,S002,P010,2026-06-08,6,149.94
29,S002,P011,2026-06-08,4,179.96
30,S002,P012,2026-06-08,8,279.92
31,S002,P013,2026-06-08,8,239.92
32,S002,P014,2026-06-08,2,39.98
33,S002,P015,2026-06-08,8,439.92
34,S002,P016,2026-06-08,8,559.92
35,S002,P017,2026-06-08,3,104.97
36,S002,P018,2026-06-08,7,104.93
37,S002,P019,2026-06-08,5,139.95
38,S002,P020,2026-06-08,4,299.96
39,S003,P001,2026-06-08,4,239.96
40,S003,P002,2026-06-08,3,119.97
41,S003,P003,2026-06-08,3,269.97
42,S003,P004,2026-06-08,8,159.92
43,S003,P005,2026-06-08,4,119.96
44,S003,P006,2026-06-08,5,599.95
45,S003,P007,2026-06-08,5,499.95
46,S003,P008,2026-06-08,1,79.99
47,S003,P009,2026-06-08,8,399.92
48,S003,P010,2026-06-08,4,99.96
49,S003,P011,2026-06-08,6,269.94
50,S003,P012,2026-06-08,4,139.96
51,S003,P013,2026-06-08,8,239.92
52,S003,P014,2026-06-08,2,39.98
53,S003,P015,2026-06-08,7,384.93
54,S003,P016,2026-06-08,5,349.95
55,S003,P017,2026-06-08,6,209.94
56,S003,P018,2026-06-08,2,29.98
57,S003,P019,2026-06-08,5,139.95
58,S003,P020,2026-06-08,2,149.98
59,S001,P001,2026-06-09,6,359.94
60,S001,P002,2026-06-09,4,159.96
61,S001,P003,2026-06-09,8,719.92
62,S001,P004,2026-06-09,7,139.93
63,S001,P005,2026-06-09,6,179.94
64,S001,P006,2026-06-09,7,839.93
65,S001,P007,2026-06-09,6,599.94
66,S001,P008,2026-06-09,2,159.98
67,S001,P009,2026-06-09,2,99.98
68,S001,P010,2026-06-09,2,49.98
69,S001,P011,2026-06-09,7,314.93
70,S001,P012,2026-06-09,3,104.97
71,S001,P013,2026-06-09,8,239.92
72,S001,P014,2026-06-09,4,79.96
73,S001,P015,2026-06-09,2,109.98
74,S001,P016,2026-06-09,8,559.92
75,S001,P017,2026-06-09,3,104.97
76,S001,P018,2026-06-09,8,119.92
77,S001,P019,2026-06-09,2,55.98
78,S001,P020,2026-06-09,5,374.95
79,S002,P001,2026-06-09,4,239.96
80,S002,P002,2026-06-09,5,199.95
81,S002,P003,2026-06-09,7,629.93
82,S002,P004,2026-06-09,8,159.92
83,S002,P005,2026-06-09,4,119.96
84,S002,P006,2026-06-09,7,839.93
85,S002,P007,2026-06-09,4,399.96
86,S002,P008,2026-06-09,2,159.98
87,S002,P009,2026-06-09,4,199.96
88,S002,P010,2026-06-09,7,174.93
89,S002,P011,2026-06-09,7,314.93
90,S002,P012,2026-06-09,7,244.93
91,S002,P013,2026-06-09,2,59.98
92,S002,P014,2026-06-09,6,119.94
93,S002,P015,2026-06-09,7,384.93
94,S002,P016,2026-06-09,3,209.97
95,S002,P017,2026-06-09,6,209.94
96,S002,P018,2026-06-09,7,104.93
97,S002,P019,2026-06-09,3,83.97
98,S002,P020,2026-06-09,3,224.97
99,S003,P001,2026-06-09,5,299.95
100,S003,P002,2026-06-09,5,199.95
101,S003,P003,2026-06-09,4,359.96
102,S003,P004,2026-06-09,7,139.93
103,S003,P005,2026-06-09,7,209.93
104,S003,P006,2026-06-09,6,719.94
105,S003,P007,2026-06-09,7,699.93
106,S003,P009,2026-06-09,3,149.97
107,S003,P010,2026-06-09,8,199.92
108,S003,P011,2026-06-09,2,89.98
109,S003,P012,2026-06-09,8,279.92
110,S003,P013,2026-06-09,4,119.96
111,S003,P014,2026-06-09,5,99.95
112,S003,P015,2026-06-09,4,219.96
113,S003,P016,2026-06-09,2,139.98
114,S003,P017,2026-06-09,3,104.97
115,S003,P018,2026-06-09,6,89.94
116,S003,P019,2026-06-09,7,195.93
117,S003,P020,2026-06-09,4,299.96
118,S001,P001,2026-06-10,3,179.97
119,S001,P002,2026-06-10,7,279.93
120,S001,P003,2026-06-10,5,449.95
121,S001,P004,2026-06-10,5,99.95
122,S001,P005,2026-06-10,7,209.93
123,S001,P006,2026-06-10,6,719.94
124,S001,P007,2026-06-10,4,399.96
125,S001,P009,2026-06-10,7,349.93
126,S001,P010,2026-06-10,6,149.94
127,S001,P011,2026-06-10,6,269.94
128,S001,P012,2026-06-10,4,139.96
129,S001,P013,2026-06-10,7,209.93
130,S001,P014,2026-06-10,6,119.94
131,S001,P015,2026-06-10,5,274.95
132,S001,P016,2026-06-10,6,419.94
133,S001,P017,2026-06-10,5,174.95
134,S001,P018,2026-06-10,4,59.96
135,S001,P019,2026-06-10,3,83.97
136,S001,P020,2026-06-10,3,224.97
137,S002,P001,2026-06-10,6,359.94
138,S002,P002,2026-06-10,5,199.95
139,S002,P003,2026-06-10,2,179.98
140,S002,P004,2026-06-10,8,159.92
141,S002,P005,2026-06-10,2,59.98
142,S002,P006,2026-06-10,5,599.95
143,S002,P007,2026-06-10,3,299.97
144,S002,P009,2026-06-10,8,399.92
145,S002,P010,2026-06-10,7,174.93
146,S002,P011,2026-06-10,5,224.95
147,S002,P012,2026-06-10,6,209.94
148,S002,P013,2026-06-10,2,59.98
149,S002,P014,2026-06-10,5,99.95
150,S002,P015,2026-06-10,5,274.95
151,S002,P016,2026-06-10,6,419.94
152,S002,P017,2026-06-10,5,174.95
153,S002,P018,2026-06-10,6,89.94
154,S002,P019,2026-06-10,4,111.96
155,S002,P020,2026-06-10,6,449.94
156,S003,P001,2026-06-10,8,479.92
157,S003,P002,2026-06-10,2,79.98
158,S003,P003,2026-06-10,7,629.93
159,S003,P004,2026-06-10,7,139.93
160,S003,P005,2026-06-10,2,59.98
161,S003,P006,2026-06-10,9,1079.91
162,S003,P007,2026-06-10,8,799.92
163,S003,P008,2026-06-10,2,159.98
164,S003,P009,2026-06-10,4,199.96
165,S003,P010,2026-06-10,2,49.98
166,S003,P011,2026-06-10,4,179.96
167,S003,P012,2026-06-10,5,174.95
168,S003,P013,2026-06-10,3,89.97
169,S003,P014,2026-06-10,5,99.95
170,S003,P015,2026-06-10,2,109.98
171,S003,P016,2026-06-10,7,489.93
172,S003,P017,2026-06-10,7,244.93
173,S003,P018,2026-06-10,4,59.96
174,S003,P019,2026-06-10,6,167.94
175,S003,P020,2026-06-10,8,599.92
176,S001,P001,2026-06-11,3,179.97
177,S001,P002,2026-06-11,6,239.94
178,S001,P003,2026-06-11,2,179.98
179,S001,P004,2026-06-11,8,159.92
180,S001,P005,2026-06-11,7,209.93
181,S001,P006,2026-06-11,10,1199.9
182,S001,P007,2026-06-11,6,599.94
